titulo,artista,letra
"Aquarela","Toquinho","Numa folha qualquer eu desenho um sol amarelo e com cinco ou seis retas e facil fazer um castelo abro um lindo jardim com crayons de muitas cores com cinco ou seis retas e facil fazer um castelo"
"Alegria Alegria","Caetano Veloso","Caminhando contra o vento sem lenco sem documento no sol de quase dezembro eu vou o sol se reparte em crimes espaconaves guerrilhas em Iracema voou"
"Amor I Love You","Marisa Monte","Deixa eu dizer que te amo deixa eu pensar em voce isso me acalma me acolhe a alma isso me ajuda a viver"
"Nao Va Embora","Marisa Monte","Nao va embora nao me deixe aqui sozinho eu tenho medo de ficar sem voce perto de mim a solidao me assusta e o silencio me faz chorar"
"Como Nossos Pais","Elis Regina","Nao quero lhe falar meu grande amor das coisas que aprendi nos discos eu quero lhe contar como eu vivi e tudo o que aconteceu comigo viver e melhor que sonhar"
"Construcao","Chico Buarque","Amou daquela vez como se fosse a ultima amou daquela vez como se fosse maquina subiu a construcao como se fosse solido ergueu no patamar quatro paredes magicas tijolo com tijolo num desenho logico"
"Trem Bala","Ana Vilela","Nao e sobre ter todas as pessoas do mundo pra si e sobre saber que em algum lugar alguem zela por ti e sobre cantar e poder escutar mais do que a propria voz e sobre dançar na chuva de vida que cai sobre nos"
"Evidencias","Chitaozinho e Xororo","Quando eu digo que deixei de te amar e porque eu te amo quando eu digo que nao quero mais voce e porque eu te quero eu tenho medo de te dar meu coracao e sofrer"
"Pais e Filhos","Legiao Urbana","Estátuas e cofres e paredes pintadas ninguem sabe o que aconteceu ela se jogou da janela do quinto andar nada e facil de entender"
"Que Pais E Esse","Legiao Urbana","Nas favelas no senado sujeira pra todo lado ninguem respeita a constituicao mas todos acreditam no futuro da nacao que pais e esse"
"Felicidade","Vinicius de Moraes","Tristeza nao tem fim felicidade sim a felicidade e como a pluma que o vento vai levando pelo ar voa tao leve mas tem a vida breve"
"Wave","Tom Jobim","Vou te contar os olhos ja nao podem ver coisas que so o coracao pode entender fundamental e mesmo o amor e impossivel ser feliz sozinho"
"O Mundo E Um Moinho","Cartola","Ainda e cedo amor mal comecaste a conhecer a vida ja anuncias a hora de partida sem experiencia voce se entrega sem se dar conta"
"Ceu Azul","Charlie Brown Jr","Eu quero paz eu quero amor eu quero estar feliz de verdade eu so quero e bom eu so quero e bom um sentimento de paz e amor"
"Mais Ninguem","Claudinho e Buchecha","Quando a gente ama tudo e mais bonito o sol brilha mais e o mundo fica mais bonito voce me faz tao feliz meu coracao nao mente"
"Dias Melhores","Jota Quest","Vivemos esperando dias melhores dias de paz dias a mais dias que nao deixaremos para tras vivemos esperando o dia em que seremos melhores"
"So Hoje","Jota Quest","So hoje eu entendi que o caminho que eu escolhi faz parte de quem eu sou e eu vou seguir em frente nao importa o que aconteca"
"Negro Drama","Racionais MCs","Negro drama entre o sucesso e a lama dinheiro problemas inveja luxo e fama negro drama cabelo crespo e a pele escura a ferida a chaga a procura da cura"
"Sampa","Caetano Veloso","Alguma coisa acontece no meu coracao que so quando cruzo a Ipiranga e a Avenida Sao Joao e que quando eu cheguei por aqui eu nada entendi"
"Leao Ferido","Djavan","Eu sei que voce anda cansado de tanto lutar de tanto tentar e nao conseguir leao ferido nao lambe a ferida nao para nao cansa de viver"
